,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
0,EUR19951,workday,D,urban,286.6439514,21.97762489,-17.45248222,358,0.403381824,0.514820695,0.889610231
1,EUR19951,workday,D,rural_bare,287.5466003,15.88437557,-18.43083382,151,1.013262749,1.314125419,2.065538645
2,EUR19951,weekend,D,urban,286.5337219,21.81306267,-18.24848747,148,0.593453467,0.807009995,1.126361966
3,EUR19951,weekend,D,rural_bare,290.0704041,13.33005428,-9.522484779,61,1.473359942,1.760225773,4.412044525
4,EUR19951,workday,N,urban,276.4858398,14.81228256,-27.74422836,959,0.178554863,0.252868086,0.679138422
5,EUR19951,workday,N,rural_bare,272.6520386,14.45720005,-29.59373093,437,0.464608192,0.486130744,1.816769838
6,EUR19951,weekend,N,urban,276.7329407,14.4834528,-28.28240776,389,0.301374376,0.412941217,1.095660686
7,EUR19951,weekend,N,rural_bare,274.3591309,12.82562923,-26.57719994,184,0.748670995,0.74765265,3.315587521
8,EUR19952,workday,D,urban,287.0222473,19.78206825,-14.80912495,680,0.22583954,0.291181177,0.667807698
9,EUR19952,workday,D,rural_bare,287.6854553,13.67392254,-15.36705685,250,0.872017324,1.020718932,1.968201518
10,EUR19952,weekend,D,urban,287.1368713,19.58924103,-15.40745735,295,0.36446324,0.482247084,1.027365804
11,EUR19952,weekend,D,rural_bare,288.1338196,14.43034363,-8.322935104,103,0.983251631,1.11008811,2.723277807
12,EUR19952,workday,N,urban,276.7832336,13.09113979,-26.13534355,709,0.186182052,0.229179487,0.959719896
13,EUR19952,workday,N,rural_bare,274.4641113,14.13358307,-22.03473663,117,0.628204644,0.58364445,2.946951151
14,EUR19952,weekend,N,urban,277.538147,11.89692593,-25.35918236,291,0.31155172,0.390120804,1.725115418
15,EUR19952,weekend,N,rural_bare,270.5656738,16.82847595,-36.38621521,55,1.960906267,2.024762392,3.970968008
16,EUR19953,workday,D,urban,287.2794495,18.27408791,-19.90566635,852,0.234658122,0.331862092,0.608748078
17,EUR19953,workday,D,rural_bare,287.3726807,14.95607948,-19.57493401,418,0.496601403,0.653882146,1.193390608
18,EUR19953,weekend,D,urban,287.6591797,17.50040054,-20.94602013,358,0.375098318,0.523321927,0.985171914
19,EUR19953,weekend,D,rural_bare,287.1130676,15.13852215,-20.51628685,160,0.928880811,1.195469618,1.877978683
20,EUR19953,workday,N,urban,277.503479,12.1480751,-32.48554993,1470,0.117976919,0.172922358,0.599401593
21,EUR19953,workday,N,rural_bare,274.8092651,11.90724564,-35.15266037,674,0.255848944,0.309991688,1.134800196
22,EUR19953,weekend,N,urban,277.7956543,11.89365387,-32.98313522,591,0.183830172,0.272655189,0.949630976
23,EUR19953,weekend,N,rural_bare,276.2361145,10.44621468,-29.08315086,258,0.416104615,0.495131105,2.246841431
24,EUR19954,workday,D,urban,284.7823181,24.3025074,-18.42982101,920,0.165396079,0.2437087,0.512926996
25,EUR19954,workday,D,rural_bare,281.2036743,25.25868034,-20.74160194,401,0.252821028,0.361094177,0.754330695
26,EUR19954,weekend,D,urban,284.5308228,24.29426765,-17.9861927,384,0.265192449,0.387755632,0.820617557
27,EUR19954,weekend,D,rural_bare,281.6520081,24.12090111,-22.39209557,158,0.402862132,0.558071733,1.230737805
28,EUR19954,workday,N,urban,275.8131104,15.13604355,-26.54860306,1616,0.114445083,0.165199623,0.576723039
29,EUR19954,workday,N,rural_bare,273.0174255,15.79548359,-29.08249092,902,0.17607294,0.22313042,0.821696639
30,EUR19954,weekend,N,urban,276.1193237,15.35692692,-27.51671219,651,0.17439045,0.252162576,0.866764247
31,EUR19954,weekend,N,rural_bare,273.9481506,14.92725658,-30.31392097,378,0.25265938,0.324264973,1.33485353
